Disease,Description
tooth disorder,"Tooth Disorder is a problem that affects the teeth and gums. It can cause pain, difficulty chewing, and tooth loss. Tooth Disorder is caused by bacteria that build up on the teeth and gums. This bacteria can cause cavities, gum disease, and other problems. Symptoms"
anemia of chronic disease,"Anemia of chronic disease is a type of anemia that occurs when the body does not produce enough red blood cells. It is most commonly found in people with chronic conditions such as cancer, kidney disease, or inflammatory diseases. Symptoms of anemia of chronic disease include fatigue"
sick sinus syndrome,"Sick sinus syndrome is a condition that affects the natural pacemaker of the heart. It causes the heart to beat too slowly or to beat irregularly. This can lead to symptoms such as dizziness, fatigue, and fainting. The cause of sick sinus syndrome is often unknown,"
strep throat,"Strep throat is a throat infection caused by group A streptococcus bacteria. Symptoms include a sore throat, fever, headache, and a rash. It is treated with antibiotics. It is important to see a healthcare provider if symptoms are present, as untreated strep throat can"
open wound of the foot,"An open wound of the foot is a type of wound that occurs on the foot. It can be a result of an injury or can be caused by a medical condition such as diabetes or peripheral artery disease. Symptoms of an open wound of the foot may include pain, swelling, redness, and"
lyme disease,"Lyme disease is a bacterial infection that is transmitted by the bite of an infected tick. The symptoms of Lyme disease can vary depending on the stage of the infection and can include fever, headache, fatigue, and a characteristic rash called erythema migrans. If left untreated,"
substance-related mental disorder,"Symptoms of substance-related mental disorder can vary depending on the specific substance being used, but can include changes in mood or behavior, problems with memory or concentration, and changes in sleep patterns. Causes of this condition can include the use of alcohol or other substances that can affect the brain and lead to changes"
ovarian torsion,"Ovarian torsion is a condition where the ovary is twisted around the ligament that holds it in place. This can cause pain and discomfort in the abdomen, and may also lead to problems with the menstrual cycle. Ovarian torsion can be caused by a variety of"
foreign body in the throat,"Foreign body in the throat (FBOT) is a condition that occurs when an object is inhaled into the respiratory tract and becomes stuck in the throat or lungs. This can be a serious medical emergency, as the object can block the airway and cause difficulty breathing. Common symptoms of FBOT include"
heat stroke,"Heat stroke is a medical emergency that occurs when the body is subjected to extreme heat. It occurs when the body is unable to regulate its temperature and cannot cool down. This can happen during extreme heat waves, in hot environments such as deserts or when exercising in hot weather."
idiopathic nonmenstrual bleeding,"Idiopathic nonmenstrual bleeding, also known as idiopathic metrorrhagia, is a condition characterized by abnormal vaginal bleeding that is not related to the menstrual cycle and has no known cause. It is considered an unusual menstrual bleeding and is not associated with any"
perirectal infection,"Perirectal infection is an infection that occurs in the area around the anus (rectum). It can be caused by bacteria, viruses, or fungi, and is often a complication of other diseases such as HIV/AIDS. Symptoms of perirectal infection include pain, itching,"
inguinal hernia,"Inguinal hernia is a condition where the intestine or fatty tissue pushes through a weak spot in the abdominal wall. It can cause pain, discomfort, and swelling in the groin area. The cause of inguinal hernia is unknown, but it may be related to"
premenstrual tension syndrome,"Premenstrual tension syndrome is a disorder that affects women before their menstrual period. Symptoms include irritability, depression, and bloating. The cause is not known, but it is thought to be related to hormonal changes that occur before menstruation. Treatment options include hormonal therapy"
abscess of the lung,"An abscess is a collection of pus in the lung. It can be caused by bacteria, viruses, or fungi. It can also be caused by a foreign object in the lung, such as a piece of food or a piece of clothing. Symptoms of an abscess include coughing"
sarcoidosis,"Sarcoidosis is a disease that causes inflammation and tiny lumps called granulomas in different parts of the body. These granulomas often affect the lungs, lymph glands, skin, eyes, liver, and spleen. Symptoms of sarcoidosis can vary widely and"
sebaceous cyst,"A sebaceous cyst is a noncancerous (benign) fluid-filled lump that forms under the skin. It results from clogged sebaceous glands. These glands are oil glands in the skin that produce sebum, which helps keep the skin lubricated"
pneumothorax,"Pneumothorax is a condition in which air leaks into the space between the lung and the chest wall. This can cause the lung to collapse and make breathing difficult. Pneumothorax can be caused by a variety of factors, including lung disease, chest injury, or surgery."
open wound due to trauma,"Open wound due to trauma is a medical condition that occurs when there is a break in the skin's surface, usually caused by trauma or injury. The wound may be minor, such as a scrape or cut, or it may be more severe, such as a deep gash or puncture. The wound may"
injury of the ankle,"Injury of the ankle is a common injury that can occur as a result of a variety of activities, including sports, running, and walking. Symptoms of ankle injury may include pain, swelling, and bruising around the ankle area. Treatment options may include rest, ice, compression"
birth trauma,"Birth trauma is a term used to describe injuries that occur during the birthing process. It can be caused by various factors, including the size and shape of the baby's head, the position of the baby in the birth canal, and the use of forceps or vacuum extraction during delivery. Sympt"
open wound of the knee,"Open wound of the knee is a type of injury that occurs when the skin on or around the knee is damaged, allowing an opening in the skin that exposes the underlying tissue. This can be caused by a fall, a sports injury, or any other type of trauma to the knee."
avascular necrosis,"Avascular necrosis is a condition that occurs when the blood supply to a bone is disrupted. This can lead to the death of bone tissue and the collapse of the bone. Avascular necrosis can occur in any bone, but is most common in the hip, shoulder, and knee. Sym"
skin polyp,"Skin polyps are small, fleshy growths that can appear on the skin or in the lining of the digestive tract. They are caused by the abnormal growth of cells and are most commonly found on the skin or in the gastrointestinal tract. Skin polyps can range in"
cardiac arrest,"Cardiac arrest is a life-threatening condition in which the heart suddenly stops beating. It is the result of an electrical malfunction in the heart that prevents it from pumping blood effectively. In most cases, cardiac arrest occurs due to a pre-existing heart condition, such as coronary artery disease"
dislocation of the ankle,"Dislocation of the ankle occurs when the ankle joint is forced out of its normal position. This can happen if the ligaments that support the ankle are stretched or torn. Symptoms of dislocation of the ankle may include pain, swelling, bruising, and the inability to bear weight"
bladder disorder,"Bladder disorders are a group of conditions that affect the bladder, the hollow organ responsible for storing urine. They can cause a variety of symptoms, such as frequent urination, urgency, and incontinence. Bladder disorders can be caused by a variety of factors, including infections"
ingrown toe nail,"Ingrown toenail is a condition in which the edge of the toenail grows into the flesh. It usually affects the big toe. The nail may dig into the skin of the toe, causing pain, swelling, redness, and tenderness. Ingrown toenails are common and can occur"
infection of open wound,"Infection of an open wound is a common medical condition that occurs when a cut or wound becomes infected with bacteria, viruses, or fungi. The infection can cause the wound to become red, swollen, painful, and filled with pus. Infections can be caused by bacteria, viruses, or fun"
tonsillar hypertrophy,"Tonsillitis is an infection of the tonsils, which are two oval-shaped lumps of tissue on either side of the back of the throat. Tonsillitis is usually caused by a virus or bacteria and can be contagious. Symptoms of tonsillitis include sore throat, fever"
poisoning due to antimicrobial drugs,"Poisoning due to antimicrobial drugs is a condition that results from the toxic effects of antibiotics. It can be caused by acute overdose, chronic ingestion, or allergic reactions to the drug. Symptoms may include nausea, vomiting, diarrhe"
hemiplegia,"Hemiplegia is a condition that causes weakness or paralysis on one side of the body. It can be caused by a variety of conditions, including stroke, brain injury, and multiple sclerosis. Symptoms can include weakness or paralysis on one side of the body, difficulty with"
trigeminal neuralgia,"Trigeminal neuralgia is a disorder of the trigeminal nerve that causes severe, electric-shock-like facial pain. It is also known as tic douloureux. Trigeminal neuralgia involves the trigeminal nerve, one of the largest nerves in"
herniated disk,"A herniated disk, also known as a slipped or ruptured disk or a prolapsed or extruded disk, is a common condition that can cause pain, numbness, and weakness in the back, neck, arms, or legs. This condition occurs when the soft, jelly-like center"
seborrheic keratosis,"Seborrheic keratosis is a common, benign skin growth that is typically harmless. It appears as raised, wart-like, or scaly patches on the skin, and can vary in size and color. The exact cause of seborrheic keratosis is unknown, but"
cholecystitis,"Cholecystitis is the inflammation of the gallbladder. The gallbladder is a small, pear-shaped organ located in the upper right abdomen, just below the liver. It stores bile, a digestive fluid produced by the liver. Bile is released into the"
delirium,"Delirium is a sudden change in mental alertness or awareness that results in reduced attention span and awareness of the environment. It is characterized by confusion, disorientation, and changes in behavior, thinking, and perception. Causes of delirium include infections, medication side effects, substance abuse, and serious"
developmental disability,"Developmental disabilities are a group of conditions that cause impairments in physical, intellectual, or developmental functioning. These disabilities can affect communication, learning, and behavior, and can range from mild to severe. Causes of developmental disabilities can include genetic factors, infections during pregnancy,"
zenker diverticulum,"Zenker diverticulum is a condition in which a pouch or bulge develops in the upper part of the esophagus, the tube that connects the mouth to the stomach. This bulge, also known as a diverticulum, is caused by a weakening of the"
restless leg syndrome,Restless legs syndrome (RLS) is a disorder that causes an uncontrollable urge to move one's legs. It often occurs in the evening or nighttime hours when a person is resting or lying down. The urge to move the legs is usually accompanied by an uncomfortable feeling in the legs that can range
cervicitis,"Cervicitis is an inflammation of the cervix, the lower part of the uterus that opens into the vagina. It is a common condition that can be caused by a variety of factors, including infections, irritation, or allergic reactions. Symptoms of cervic"
hydrocephalus,"Hydrocephalus is a condition in which there is an abnormal increase of cerebrospinal fluid (CSF) in the cavities of the brain. This causes an increase in the size of the head in infants and young children, and the brain tissue in adults. Hydrocephal"
extrapyramidal effect of drugs,"Extrapyramidal side effects (EPS) are a group of side effects that can occur as a result of certain drugs used to treat some mental health conditions, particularly those that work by affecting the level of dopamine in the brain. These side effects can cause involuntary movements, muscle stiffness, and"
decubitus ulcer,"Decubitus ulcer, also known as pressure ulcer or bed sore, is a wound caused by pressure on the skin. It typically occurs in people who are immobile or have limited mobility, such as the elderly or those with disabilities. The pressure can reduce blood flow to the skin, which can damage"
seasonal allergies (hay fever),"Seasonal allergies, also known as allergic rhinitis or hay fever, is a common condition where the immune system overreacts to allergens such as pollen, dust mites, mold, or animal dander. Symptoms can include sneezing, itchy, watery eyes"
spinocerebellar ataxia,"Spinocerebellar ataxia is a rare, inherited disorder that affects the nervous system and causes progressive problems with balance and coordination. The disease is characterized by the degeneration of the cerebellum, a part of the brain that controls movement, coordination, and balance."
scar,"Scars are areas of fibrous tissue that replace normal skin after an injury has healed. They can be raised or recessed, and may be a different color than the surrounding skin. Some scars fade over time, while others may remain for life. Scars can occur anywhere on the body, but are most"
thrombophlebitis,"Thrombophlebitis is a blood clot that can form in a vein. It most commonly occurs in the legs, but can also occur in other parts of the body. Symptoms of thrombophlebitis may include swelling, pain, redness, and warmth in the"
ectropion,"Ectropion is a condition in which the lower eyelid turns outward, away from the eye. This can cause the lower eyelashes to rub against the eyeball, leading to redness, irritation, and watery eyes. Ectropion can be caused by aging, sun exposure,"
peripheral arterial embolism,"Peripheral arterial embolism is a medical condition in which a blood clot or other material travels through the bloodstream and blocks an artery in the leg. It can cause pain, weakness, and numbness in the affected leg, and, if left untreated, can lead to tissue death"
diabetes insipidus,"Diabetes insipidus is a condition in which the kidneys cannot conserve water, leading to excessive urination and dehydration. It is not the same as diabetes mellitus, which is a disorder of blood sugar regulation."
multiple myeloma,"Multiple myeloma is a type of cancer that occurs when a type of white blood cell called a plasma cell becomes cancerous. These cells are responsible for making antibodies to fight infections. In multiple myeloma, the cancerous plasma cells grow and multiply out of control, leading to the buildup"
carcinoid syndrome,"Carcinoid syndrome is a condition in which a tumor secretes hormones, such as serotonin, that affect the body. Symptoms may include flushing, diarrhea, wheezing, and shortness of breath. Treatment options may include surgery to remove the tumor,"
autism,"Autism, or autism spectrum disorder (ASD), refers to a range of conditions characterized by challenges with social skills, repetitive behaviors, speech and nonverbal communication, as well as by unique strengths and differences. We currently know that there is no one cause of autism just as there is no one aut"
idiopathic excessive menstruation,"Idiopathic excessive menstruation, also known as menorrhagia, is a condition characterized by heavy or prolonged menstrual bleeding. The cause of this condition is often unknown, but it is thought to be related to hormonal imbalances or abnormalities in the uterine l"
spondylitis,"Spondylitis is a type of arthritis that mainly affects the spine. It can cause inflammation and pain in the joints of the spine and can also lead to stiffness and loss of mobility. Spondylitis can affect people of all ages, although it is more common in middle-"
fracture of the finger,"Fracture of the finger is a common injury that occurs when the bone in one or more of the fingers is broken. It can happen due to a variety of reasons, such as falling, sports injuries, or direct trauma to the finger. The symptoms of a fractured finger can include pain and swelling in the"
female infertility of unknown cause,"Female infertility of unknown cause is a condition in which a woman is unable to conceive despite having normal menstrual cycles and no apparent physical or medical issues. The cause of this condition is often unknown, and it can be challenging to diagnose and treat. Symptoms may include irregular men"
chickenpox,"Chickenpox, also known as varicella, is a highly contagious viral infection that affects the skin and mucous membranes of the body. The disease is caused by the varicella-zoster virus (VZV) and is spread through airborne droplets when an"
chlamydia,"Chlamydia is a sexually transmitted bacterial infection that affects both men and women. It can cause serious health problems, including infertility and pelvic inflammatory disease, if left untreated. Chlamydia is most commonly spread through unprotected sex, and it can also be"
intestinal malabsorption,Intestinal malabsorption is a disorder that prevents the intestines from absorbing the right amount of nutrients from the food you eat. It is also known as malabsorption syndrome.
pulmonic valve disease,"Pulmonic valve disease involves the heartâ€™s pulmonic valve, which sits between the right ventricle and the pulmonary artery. This valve has three leaflets, or flaps, which open and close to allow blood to flow from the right ventricle to"
drug abuse (barbiturates),"Drug abuse (barbiturates) refers to the non-medical use of barbiturate drugs, which are central nervous system depressants. Barbiturates are often taken to induce sleep or to alleviate anxiety. However, they can also be abused for their sedative and e"
eustachian tube dysfunction (ear disorder),"Eustachian tube dysfunction (ETD) is a disorder of the eustachian tube, which is a thin, muscular tube connecting the middle ear to the back of the throat. The eustachian tube helps regulate air pressure in the middle ear and drain fluid and mucus from"
fracture of the patella,"Fracture of the patella (knee cap) is a break in the bone that forms the front of the knee joint. Symptoms may include swelling, pain, and difficulty moving the knee. Causes may include a direct blow to the knee, or repetitive stress on the knee. Treat"
pleural effusion,"Pleural effusion is a condition in which fluid accumulates in the space between the lung and the chest wall (pleural space). This can cause shortness of breath, chest pain, and other symptoms. There are several causes of pleural effusion, including heart failure, lung disease, pneumonia,"
poisoning due to antipsychotics,This disease is also known as antipsychotic toxicity. It occurs when a person takes a higher dose of antipsychotic medication than recommended or when they take it for a longer period than recommended.
tourette syndrome,"Tourette syndrome (TS) is a neurological disorder characterized by repetitive, involuntary movements and vocalizations called tics. It is a type of movement disorder and is often accompanied by obsessive-compulsive disorder (OCD) and attention deficit hyperactivity disorder (ADHD"
parasitic disease,"Parasitic diseases are caused by parasites such as worms, protozoa, and fungi. Symptoms may include fever, fatigue, abdominal pain, and skin rashes. Treatment options may include antiparasitic medication and lifestyle changes to improve hygiene and"
female genitalia infection,"Female genitalia infection is a type of infection that can occur in the genital area of a woman. It can be caused by a number of different bacteria, viruses, or fungi. Symptoms may include itching, burning, redness, swelling, pain, and discharge."
ovarian cyst,"Ovarian cysts are fluid-filled sacs that develop on or within an ovary. They are a common occurrence and can develop at any age. Most ovarian cysts are benign (not cancerous) and do not cause any symptoms. However, some cysts can cause"
burn,"Burns are injuries caused by heat, light, electricity, chemicals, or radiation. They can range from minor, superficial burns to deep, life-threatening burns. Symptoms can include pain, redness, swelling, blisters, and skin damage. Causes of"
vitamin a deficiency,"Vitamin A deficiency causes night blindness, dry eyes, and corneal ulcers. Vitamin A deficiency can also lead to anaemia, impaired growth, and increased susceptibility to infections."
open wound of the ear,"An open wound of the ear refers to a tear in the skin of the ear that is not completely closed. It can occur due to a variety of factors, including trauma, infection, or surgery. Symptoms may include pain, bleeding, and discharge from the wound. Treatment options typically involve cleaning and dressing"
conjunctivitis,"Conjunctivitis, also known as pinkeye, is an infection or inflammation of the conjunctiva, which is the thin transparent layer of tissue that lines the inner surface of the eyelid and covers the white part of the eye. Conjunctivitis is a common condition that can"
pulmonary embolism,"Pulmonary embolism (PE) is a condition in which a blood clot (thrombus) travels from another part of the body to an artery in the lungs, blocking blood flow through the vessel. The clot may be a result of a previous blood clot in the leg, or"
overflow incontinence,"Overflow incontinence is a type of urinary incontinence that occurs when urine leaks out of the bladder even when it is not fully emptied. This can be caused by a weak bladder muscle that is unable to contract properly, a blockage in the urethra, or"
polymyalgia rheumatica,"Polymyalgia rheumatica is a condition that can cause pain, stiffness, and inflammation in the muscles and joints, especially in the shoulders, neck, and hips. It is more common in older adults and is more likely to occur in women than men. The exact cause of"
open wound of the jaw,"An open wound of the jaw is a type of injury that occurs when the jaw is damaged or broken. Symptoms can include pain, swelling, difficulty eating or speaking, and bleeding. The cause of the injury is typically a fall, car accident, or sport injury. Treatment for an open wound of the"
osteochondroma,"Osteochondroma is a non-cancerous (benign) bone tumor that is most common in children and young adults. It typically occurs in the long bones of the arms and legs, near the growth plate."
crohn disease,"Crohn disease is an inflammatory bowel disease (IBD) that causes inflammation of the gastrointestinal tract, particularly the small intestine and colon. Symptoms can include abdominal pain, diarrhea, weight loss, and fatigue. The cause"
abdominal hernia,"Abdominal hernia is a condition in which part of the abdominal cavity protrudes through a weak area of the abdominal wall. This can occur in people of all ages and can be caused by a variety of factors, including obesity, pregnancy, and previous surgery. Symptoms"
scleroderma,"Scleroderma is a chronic connective tissue disease that affects the skin and internal organs. It is characterized by the hardening and tightening of the skin, as well as the thickening of the connective tissue in the internal organs. Symptoms of scleroderma can vary widely"
varicocele of the testicles,"Varicocele is a condition that occurs when the veins in the scrotum (the soft pouch of skin under the penis) become swollen and enlarged. This can cause pain, swelling, and discomfort in the testicles. Varicocele is a common condition, affecting approximately"
dislocation of the elbow,"Dislocation of the elbow is a condition in which the bones of the elbow joint move out of their normal alignment. It can occur due to a sudden injury or fall, or during certain sports activities. The most common type of elbow dislocation is anterior dislocation, where the ulna moves forward and the radius moves backward"
subconjunctival hemorrhage,"Subconjunctival hemorrhage is a condition where a blood vessel in the tissue that lines the white part of the eye (sclera) and the inside of the eyelid (conjunctiva) bursts, causing redness and discoloration. The blood appears on the white part"
choledocholithiasis,"Choledocholithiasis is a condition in which the gallbladder or bile duct is blocked by one or more stones. The stones, also known as gallstones, can form in the gallbladder or pancreas. When they pass into the bile duct"
injury to the knee,"Injury to the knee is a common problem that can occur during sports, falls, or other physical activities. It can cause pain, swelling, and difficulty walking. Treatment options may include rest, ice, compression, and elevation (RICE), physical therapy, or in some cases, surgery."
sensorineural hearing loss,"Sensorineural hearing loss is hearing loss caused by damage to the inner ear or to the hearing (auditory) nerve. This type of hearing loss is often associated with aging, exposure to loud noises, certain medications, or infections. Sensorineural hearing loss can cause difficulty understanding speech in noisy environments"
athlete's foot,"Athlete's foot, also known as tinea pedis, is a fungal infection of the skin on the feet. It is a common condition that affects people of all ages, but is more prevalent among athletes and those who wear tight-fitting shoes for long periods of time. The fung"
viral hepatitis,"Viral hepatitis is a contagious liver infection caused by a virus. It can range from a mild illness lasting a few weeks to a serious, lifelong illness."
multiple sclerosis,"Multiple sclerosis (MS) is an autoimmune disease of the central nervous system (CNS). It is often symptomatic and progressive, and may lead to disability. Multiple sclerosis is thought to be an immune-mediated disorder in which the immune system attacks the myelin she"
syringomyelia,"Syringomyelia is a rare neurological condition where fluid-filled cysts form in the spinal cord, causing nerve damage and pain. Symptoms may include tingling or numbness in the arms and legs, muscle weakness, and loss of coordination. Causes can include spinal"
metabolic disorder,"Metabolic disorders are a group of diseases that can affect the body's ability to use energy from food. These disorders may be inherited, or they may develop over time due to lifestyle factors such as diet and exercise. Symptoms of metabolic disorders can vary depending on the specific disorder, but may include"
induced abortion,"This refers to the deliberate termination of a pregnancy before normal child birth. It is a medical procedure that is performed to terminate a pregnancy that is not wanted by the mother or is no longer viable. It is typically performed in the first trimester of pregnancy, but can be done later in the pregnancy as"
pain disorder affecting the neck,"Cervical dystonia (spasmodic torticollis) is a movement disorder that causes the muscles in your neck to contract involuntarily. This causes your neck to twist to one side. The condition can affect your ability to turn your head, making it difficult to do many everyday tasks."
pregnancy,"Pregnancy is a natural biological process in which a woman carries and gives birth to a child. It is the result of the fertilization of an egg by a sperm, leading to the formation of a zygote, which subsequently grows and develops into a fetus."
stye,"Styes are infections of the eyelid margins that lead to the formation of a swollen, painful bump. They are typically caused by bacteria that enter the oil glands of the eyelids and can be triggered by poor hygiene, wearing makeup or contact lenses for too long, or having"
pinguecula,"Pinguecula is a common eye condition that occurs when a yellowish, elevated thickening develops on the clear tissue covering the white of the eye (the conjunctiva). It is typically caused by prolonged exposure to sunlight, wind, dust, and other environmental factors. Pinguecula"
gastroduodenal ulcer,"A gastroduodenal ulcer is a type of peptic ulcer that forms in the duodenum (the first part of the small intestine) or in the stomach. Peptic ulcers are characterized by a break in the mucosal lining of the stomach or duodenum,"
neuropathy due to drugs,"Neuropathy due to drugs is a condition in which the nerves are damaged due to the use of certain drugs, such as chemotherapy drugs, antiretrovirals, and antibiotics. It can cause numbness, tingling, and pain in the hands and feet, difficulty walking,"
mitral valve disease,Mitral valve disease is a condition where the mitral valve in the heart does not function properly. The mitral valve separates the left atrium and left ventricle of the heart and is responsible for regulating the flow of blood from the left atrium to the left ventricle.
dislocation of the foot,"Dislocation of the foot is a sprain of the foot joints, which can cause pain, swelling, and difficulty bearing weight. It can occur due to trauma, such as a fall or a sudden twisting motion. Symptoms may include pain, swelling, and difficulty walking. Treatment typically includes"
pulmonary fibrosis,"Pulmonary fibrosis is a condition where the lung tissue becomes permanently scarred, and the lung tissue can no longer properly absorb oxygen. Scarring can be caused by a variety of factors including infection, disease, and exposure to toxins. Patients with pulmonary fibrosis experience shortness"
